Time, Values
2022-10-15 11:48, [5.380430294809221 0.05327158707731902]
2022-10-15 11:49, [5.54446797672182 0.050404254333834726]
2022-10-15 11:50, [5.893809884747537 0.04952781415754232]
2022-10-15 11:51, [5.81922136172451 0.04849351134770425]
2022-10-15 11:52, [5.5508269172986004 0.04512867412437887]
2022-10-15 11:53, [5.556481581345477 0.04554493099463506]
2022-10-15 11:54, [5.818513599320268 0.049309437282375156]
2022-10-15 11:55, [5.891566444763356 0.051231012563159616]
2022-10-15 11:56, [5.544531879843819 0.049950737656250625]
2022-10-15 11:57, [5.523034897963244 0.052104102810974]
2022-10-15 11:58, [5.439951064603809 0.052307221775036626]
2022-10-15 11:59, [5.383193406361287 0.05126850863201226]
2022-10-15 12:00, [5.44575217626636 0.05137502053081472]
2022-10-15 12:01, [5.451914533907452 0.048677808338459395]
2022-10-15 12:03, [5.391323176256507 0.050861539398646294]
2022-10-15 12:04, [5.5502297487680465 0.04868622586638637]
2022-10-15 12:05, [5.7908293356333695 0.04949426782592624]
2022-10-15 12:06, [5.528544117315118 0.04936200104745641]
2022-10-15 12:07, [5.534068815213506 0.04985647581273429]
2022-10-15 12:09, [5.455050309501297 0.04785131850439735]
2022-10-15 12:10, [5.441155804998223 0.048581748258912705]
2022-10-15 12:11, [5.7908293356333695 0.04949426782592624]
2022-10-15 12:12, [5.767486117406304 0.04929475314022482]
2022-10-15 12:13, [5.728034449692373 0.05114316472939619]
2022-10-15 12:14, [5.528235023555006 0.051665747883691646]
2022-10-15 12:15, [5.538967862566685 0.05176605479034285]
2022-10-15 12:16, [5.523797133921295 0.05362909838758539]
2022-10-15 12:17, [5.528792765975953 0.05215842232052786]
2022-10-15 12:20, [5.448382178868033 0.056168888441938486]
2022-10-15 12:21, [5.505439838182575 0.05795199829665868]
2022-10-15 12:22, [5.382983291382368 0.05607274261856634]
2022-10-15 12:24, [5.313171657279377 0.05208991820862135]
2022-10-15 12:26, [5.306810781857909 0.05586116612482009]
2022-10-15 12:29, [5.694923247675434 0.05811146171097382]
2022-10-15 12:30, [5.7258407143590535 0.05669149222137677]
2022-10-15 12:31, [5.434159829578039 0.05660583155810458]
2022-10-15 12:32, [5.4370292955823265 0.05437029295582327]
2022-10-15 12:33, [5.387194781611749 0.05130661696773094]
2022-10-15 12:34, [5.387266653421669 0.049882098642793235]
2022-10-15 12:35, [5.437258257516506 0.05081549773379912]
2022-10-15 12:36, [5.6972262986666165 0.050868091952380505]
2022-10-15 12:37, [5.817808948133363 0.050153525414942786]
2022-10-15 12:38, [5.4551234752833 0.04702692651106293]
