Time,egress_stats__if_1sec_pkts
2022-10-05T10:00:00Z,6591388740
2022-10-05T10:30:00Z,6925294538
2022-10-05T11:00:00Z,7088670645
2022-10-05T11:30:00Z,7367730675
2022-10-05T12:00:00Z,7037546053
2022-10-05T12:30:00Z,6991924460
2022-10-05T13:00:00Z,6796772869
2022-10-05T13:30:00Z,6444643962
2022-10-05T14:00:00Z,5799637634
2022-10-05T14:30:00Z,5270880402
2022-10-05T15:00:00Z,4929063462
2022-10-05T15:30:00Z,4779685248
2022-10-05T16:00:00Z,4610060833
2022-10-05T16:30:00Z,4206401237
2022-10-05T17:00:00Z,4067974167
2022-10-05T17:30:00Z,4139823625
2022-10-05T18:00:00Z,4224920635
2022-10-05T18:30:00Z,3930673988
2022-10-05T19:00:00Z,3927431324
2022-10-05T19:30:00Z,4037993980
2022-10-05T20:00:00Z,4292989244
2022-10-05T20:30:00Z,4262587951
2022-10-05T21:00:00Z,4158468900
2022-10-05T21:30:00Z,4142830191
2022-10-05T22:00:00Z,3788619138
2022-10-05T22:30:00Z,3555125767
2022-10-05T23:00:00Z,3686518437
2022-10-05T23:30:00Z,3143725830
